latitude,longitude,mac,acctupdatetime,peso
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-05 23:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 00:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 01:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 08:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 12:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 14:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 15:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 16:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 18:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 19:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 20:00:00,10
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 21:00:00,12
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 22:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-06 23:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 00:00:00,18
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 01:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 02:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 03:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 12:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 14:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 16:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 17:00:00,12
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 18:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 19:00:00,10
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 20:00:00,14
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 21:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 22:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-07 23:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 00:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 01:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 02:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 03:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 04:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 15:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 16:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 17:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 18:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 19:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 20:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 21:00:00,13
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 22:00:00,16
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-08 23:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 00:00:00,12
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 01:00:00,12
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 02:00:00,12
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 03:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 15:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 16:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 17:00:00,10
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 18:00:00,18
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 19:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-09 20:00:00,7
